YearsExperience,Education,JobRole,OrgSize,Location,CompTotal,CompFreq,Currency,LanguageHaveWorkedWith,Age,Gender
9,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Developer, front-end",100 to 499 employees,Viet Nam,20000000.0,Monthly,VND	Vietnamese dong,NOT PROVIDED,25-34 years old,Man
11,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Developer, full-stack",20 to 99 employees,Viet Nam,33000000.0,Monthly,VND	Vietnamese dong,NOT PROVIDED,25-34 years old,Man
5,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Developer, mobile",100 to 499 employees,Viet Nam,8000000.0,Monthly,VND	Vietnamese dong,NOT PROVIDED,18-24 years old,Man
12,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)","Developer, mobile;Developer, front-end;Developer, desktop or enterprise applications;Developer, full-stack;Developer, back-end",20 to 99 employees,Viet Nam,30000000.0,Monthly,VND	Vietnamese dong,NOT PROVIDED,25-34 years old,Man
7,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Developer, desktop or enterprise applications;Developer, back-end","5,000 to 9,999 employees",Viet Nam,20000000.0,Monthly,VND	Vietnamese dong,NOT PROVIDED,25-34 years old,Man
10,Primary/elementary school,"Developer, mobile;Developer, front-end;Developer, full-stack;Developer, back-end;Database administrator;Developer, QA or test;Data or business analyst;System administrator;Product manager",10 to 19 employees,Viet Nam,200000000.0,Yearly,VND	Vietnamese dong,NOT PROVIDED,25-34 years old,Man
7,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Developer, mobile;Developer, front-end;Student;Educator",10 to 19 employees,Viet Nam,20000000.0,Monthly,VND	Vietnamese dong,NOT PROVIDED,25-34 years old,Man
11,Some college/university study without earning a degree,"Developer, back-end;DevOps specialist;Engineering manager",100 to 499 employees,Viet Nam,78000000.0,Monthly,VND	Vietnamese dong,NOT PROVIDED,25-34 years old,Man
Less than 1 year,Some college/university study without earning a degree,"Developer, back-end",20 to 99 employees,Viet Nam,1250000.0,Weekly,VND	Vietnamese dong,NOT PROVIDED,25-34 years old,Man
12,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)","Developer, full-stack",20 to 99 employees,Viet Nam,57800000.0,Monthly,VND	Vietnamese dong,NOT PROVIDED,25-34 years old,Man
7,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Developer, full-stack",100 to 499 employees,Viet Nam,35000000.0,Monthly,VND	Vietnamese dong,NOT PROVIDED,18-24 years old,Man
4,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Developer, mobile","1,000 to 4,999 employees",Viet Nam,9500000.0,Monthly,VND	Vietnamese dong,NOT PROVIDED,18-24 years old,Man
Less than 1 year,Some college/university study without earning a degree,"Developer, back-end;Student",20 to 99 employees,Viet Nam,21000000.0,Monthly,VND	Vietnamese dong,NOT PROVIDED,25-34 years old,Man
9,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Developer, front-end",100 to 499 employees,Viet Nam,50000000.0,Monthly,VND	Vietnamese dong,NOT PROVIDED,25-34 years old,Man
12,Some college/university study without earning a degree,"Developer, desktop or enterprise applications;Developer, full-stack;Developer, back-end;Database administrator;Data or business analyst;Designer;System administrator",10 to 19 employees,Viet Nam,25000000.0,Monthly,VND	Vietnamese dong,NOT PROVIDED,25-34 years old,Man
13,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","DevOps specialist;Engineer, site reliability","1,000 to 4,999 employees",Viet Nam,1900.0,Monthly,USD	United States dollar,NOT PROVIDED,25-34 years old,Man
5,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Developer, full-stack;Developer, back-end",500 to 999 employees,Viet Nam,40000000.0,Monthly,VND	Vietnamese dong,NOT PROVIDED,25-34 years old,Man
3,Some college/university study without earning a degree,"Developer, front-end;Developer, back-end",100 to 499 employees,Viet Nam,1000.0,Yearly,USD	United States dollar,NOT PROVIDED,18-24 years old,Man
4,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Developer, mobile;Developer, front-end",20 to 99 employees,Viet Nam,16000000.0,Monthly,VND	Vietnamese dong,NOT PROVIDED,18-24 years old,Man
15,Some college/university study without earning a degree,"Developer, full-stack","1,000 to 4,999 employees",Viet Nam,47000000.0,Monthly,VND	Vietnamese dong,NOT PROVIDED,25-34 years old,Man
8,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Developer, desktop or enterprise applications;Developer, full-stack;Developer, back-end;Product manager",20 to 99 employees,Viet Nam,420000000.0,Yearly,VND	Vietnamese dong,NOT PROVIDED,25-34 years old,Man
6,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Developer, front-end;Developer, desktop or enterprise applications;Developer, full-stack;Developer, back-end;Academic researcher;Developer, embedded applications or devices;Data or business analyst;Designer;System administrator","10,000 or more employees",Viet Nam,500000000.0,Monthly,VND	Vietnamese dong,NOT PROVIDED,25-34 years old,Man
5,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Developer, full-stack;Developer, back-end",100 to 499 employees,Viet Nam,17000000.0,Monthly,VND	Vietnamese dong,NOT PROVIDED,18-24 years old,Man
13,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Developer, mobile;Developer, desktop or enterprise applications;Developer, full-stack;Developer, back-end;Developer, game or graphics;Product manager",20 to 99 employees,Viet Nam,80000000.0,Monthly,VND	Vietnamese dong,NOT PROVIDED,25-34 years old,Man
9,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Developer, back-end","1,000 to 4,999 employees",Viet Nam,23000000.0,Monthly,VND	Vietnamese dong,NOT PROVIDED,18-24 years old,Man
8,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Developer, full-stack",100 to 499 employees,Viet Nam,12000000.0,Monthly,VND	Vietnamese dong,NOT PROVIDED,18-24 years old,Man
4,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Developer, mobile","1,000 to 4,999 employees",Viet Nam,14000000.0,Monthly,VND	Vietnamese dong,NOT PROVIDED,18-24 years old,Man
5,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Developer, back-end",20 to 99 employees,Viet Nam,40000000.0,Monthly,VND	Vietnamese dong,NOT PROVIDED,25-34 years old,Man
3,Some college/university study without earning a degree,"Developer, back-end",20 to 99 employees,Viet Nam,17000000.0,Monthly,VND	Vietnamese dong,NOT PROVIDED,18-24 years old,Man
7,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Developer, front-end;Developer, full-stack;Developer, back-end",100 to 499 employees,Viet Nam,50000000.0,Monthly,VND	Vietnamese dong,NOT PROVIDED,25-34 years old,Man
12,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Developer, full-stack",500 to 999 employees,Viet Nam,28000000.0,Monthly,VND	Vietnamese dong,NOT PROVIDED,25-34 years old,Man
7,"Associate degree (A.A., A.S., etc.)","Developer, front-end","1,000 to 4,999 employees",Viet Nam,8000000.0,Monthly,VND	Vietnamese dong,NOT PROVIDED,25-34 years old,Man
4,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Developer, full-stack",20 to 99 employees,Viet Nam,18000000.0,Monthly,VND	Vietnamese dong,NOT PROVIDED,18-24 years old,Man
3,Something else,"Developer, front-end",20 to 99 employees,Viet Nam,1000.0,Monthly,AED United Arab Emirates dirham,NOT PROVIDED,25-34 years old,Man
5,Some college/university study without earning a degree,"Developer, front-end;Developer, full-stack;Developer, back-end;Developer, desktop or enterprise applications;Developer, QA or test;Developer, mobile;Developer, embedded applications or devices;Developer, game or graphics",20 to 99 employees,Viet Nam,26000000.0,Monthly,VND	Vietnamese dong,NOT PROVIDED,25-34 years old,Man
5,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Developer, back-end",20 to 99 employees,Viet Nam,12000000.0,Monthly,VND	Vietnamese dong,NOT PROVIDED,25-34 years old,Man
7,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Developer, back-end","1,000 to 4,999 employees",Viet Nam,17500000.0,Monthly,VND	Vietnamese dong,NOT PROVIDED,25-34 years old,Man
More than 50 years,"Associate degree (A.A., A.S., etc.)","Data scientist or machine learning specialist;Developer, front-end;Engineer, data;Engineer, site reliability;Developer, full-stack;Developer, back-end;Developer, desktop or enterprise applications;Developer, QA or test;Student;Developer, mobile;Educator;Engineering manager;Database administrator;Academic researcher;DevOps specialist;Other (please specify):;Developer, embedded applications or devices;Developer, game or graphics;Project manager;Cloud infrastructure engineer;Data or business analyst;Designer;Scientist;Product manager;Senior Executive (C-Suite, VP, etc.);System administrator;Blockchain;Marketing or sales professional;Security professional",I don’t know,Viet Nam,1234.0,Weekly,VND	Vietnamese dong,NOT PROVIDED,65 years or older,"Non-binary, genderqueer, or gender non-conforming"
11,"Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)","Developer, front-end;Developer, full-stack;Developer, mobile;Developer, game or graphics",20 to 99 employees,Viet Nam,551612205.0,Yearly,VND	Vietnamese dong,NOT PROVIDED,25-34 years old,Man
20,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Engineer, site reliability;Developer, full-stack",20 to 99 employees,Viet Nam,190000.0,Yearly,USD	United States dollar,NOT PROVIDED,35-44 years old,Man
1,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Developer, full-stack",20 to 99 employees,Viet Nam,5000.0,Monthly,VND	Vietnamese dong,NOT PROVIDED,18-24 years old,Man
12,"Associate degree (A.A., A.S., etc.)","Developer, full-stack",10 to 19 employees,Viet Nam,35000000.0,Monthly,VND	Vietnamese dong,NOT PROVIDED,25-34 years old,Man
7,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Developer, front-end;Developer, full-stack;Developer, back-end;Developer, mobile",20 to 99 employees,Viet Nam,53000000.0,Monthly,VND	Vietnamese dong,NOT PROVIDED,25-34 years old,Man
5,Some college/university study without earning a degree,Security professional,"1,000 to 4,999 employees",Viet Nam,700.0,Monthly,USD	United States dollar,NOT PROVIDED,18-24 years old,Prefer not to say
6,Some college/university study without earning a degree,"Developer, front-end;Developer, full-stack;Developer, back-end",100 to 499 employees,Viet Nam,2500.0,Monthly,USD	United States dollar,NOT PROVIDED,25-34 years old,Man
3,Some college/university study without earning a degree,"Developer, front-end;Developer, full-stack;Developer, back-end",20 to 99 employees,Viet Nam,11000000.0,Monthly,VND	Vietnamese dong,NOT PROVIDED,18-24 years old,Man
4,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Developer, front-end;Developer, full-stack;Developer, back-end;Blockchain",20 to 99 employees,Viet Nam,21000000.0,Monthly,VND	Vietnamese dong,NOT PROVIDED,18-24 years old,Man
5,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Developer, full-stack","5,000 to 9,999 employees",Viet Nam,37000000.0,Monthly,VND	Vietnamese dong,NOT PROVIDED,25-34 years old,Man
4,"Associate degree (A.A., A.S., etc.)","Developer, full-stack",20 to 99 employees,Viet Nam,20000000.0,Monthly,VND	Vietnamese dong,NOT PROVIDED,25-34 years old,Man
12,Some college/university study without earning a degree,Engineering manager,100 to 499 employees,Viet Nam,66000.0,Monthly,GBP	Pound sterling,NOT PROVIDED,25-34 years old,Man
5,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Developer, front-end;Developer, full-stack;Developer, back-end",20 to 99 employees,Viet Nam,10000000.0,Monthly,VND	Vietnamese dong,NOT PROVIDED,18-24 years old,Man
10,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Developer, desktop or enterprise applications;Developer, embedded applications or devices;Developer, game or graphics","10,000 or more employees",Viet Nam,12000.0,Monthly,VND	Vietnamese dong,NOT PROVIDED,25-34 years old,Man
11,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Developer, front-end;Developer, full-stack;Blockchain",100 to 499 employees,Viet Nam,50000000.0,Monthly,VND	Vietnamese dong,NOT PROVIDED,18-24 years old,Man
8,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",Other (please specify):,"1,000 to 4,999 employees",Viet Nam,30000000.0,Monthly,VND	Vietnamese dong,NOT PROVIDED,25-34 years old,Man
2,"Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)","Developer, back-end",100 to 499 employees,Viet Nam,700.0,Monthly,USD	United States dollar,NOT PROVIDED,25-34 years old,Man
11,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Developer, front-end;Developer, full-stack;Developer, back-end;Project manager;System administrator",10 to 19 employees,Viet Nam,2000.0,Monthly,USD	United States dollar,NOT PROVIDED,25-34 years old,Man
4,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Developer, full-stack;Developer, back-end",100 to 499 employees,Viet Nam,25000000.0,Monthly,VND	Vietnamese dong,NOT PROVIDED,25-34 years old,Man
3,Some college/university study without earning a degree,"Developer, full-stack",100 to 499 employees,Viet Nam,23000000.0,Monthly,VND	Vietnamese dong,NOT PROVIDED,18-24 years old,Man
6,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Developer, front-end","1,000 to 4,999 employees",Viet Nam,14000000.0,Monthly,VND	Vietnamese dong,NOT PROVIDED,18-24 years old,Man
6,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Developer, mobile",100 to 499 employees,Viet Nam,1400.0,Monthly,USD	United States dollar,NOT PROVIDED,18-24 years old,Man
5,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)","Developer, full-stack;Student;Developer, mobile",20 to 99 employees,Viet Nam,4000000.0,Monthly,VND	Vietnamese dong,NOT PROVIDED,18-24 years old,Man
12,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Developer, full-stack;Developer, back-end",500 to 999 employees,Viet Nam,60000.0,Yearly,VND	Vietnamese dong,NOT PROVIDED,25-34 years old,Man
7,Some college/university study without earning a degree,"Engineer, data",100 to 499 employees,Viet Nam,30000000.0,Monthly,VND	Vietnamese dong,NOT PROVIDED,25-34 years old,Man
7,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Developer, full-stack",100 to 499 employees,Viet Nam,48000000.0,Monthly,VND	Vietnamese dong,NOT PROVIDED,25-34 years old,Man
6,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",Data scientist or machine learning specialist,20 to 99 employees,Viet Nam,20000000.0,Monthly,VND	Vietnamese dong,NOT PROVIDED,25-34 years old,Man
10,Primary/elementary school,"Developer, front-end;Developer, full-stack;Database administrator;Academic researcher;Blockchain",20 to 99 employees,Viet Nam,20000000.0,Monthly,VND	Vietnamese dong,NOT PROVIDED,18-24 years old,Man
4,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)","Engineer, site reliability;DevOps specialist",100 to 499 employees,Viet Nam,12000000.0,Monthly,VND	Vietnamese dong,NOT PROVIDED,18-24 years old,Man
12,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)","Developer, back-end",100 to 499 employees,Viet Nam,120000000.0,Monthly,VND	Vietnamese dong,NOT PROVIDED,25-34 years old,Man
8,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Developer, front-end;Developer, full-stack;Developer, back-end;Developer, desktop or enterprise applications",100 to 499 employees,Viet Nam,35000000.0,Monthly,VND	Vietnamese dong,NOT PROVIDED,25-34 years old,Man
8,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Developer, mobile",500 to 999 employees,Viet Nam,40000000.0,Monthly,VND	Vietnamese dong,NOT PROVIDED,25-34 years old,Man
10,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)","Developer, full-stack;Developer, back-end;Developer, desktop or enterprise applications",10 to 19 employees,Viet Nam,383500000.0,Yearly,VND	Vietnamese dong,NOT PROVIDED,25-34 years old,Man
35,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Developer, back-end",20 to 99 employees,Viet Nam,80000000.0,Monthly,VND	Vietnamese dong,NOT PROVIDED,45-54 years old,Man
10,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Developer, front-end;Developer, full-stack;Developer, back-end;Blockchain",100 to 499 employees,Viet Nam,51000000.0,Monthly,VND	Vietnamese dong,NOT PROVIDED,25-34 years old,Man
9,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Developer, front-end;Developer, full-stack;Developer, back-end",20 to 99 employees,Viet Nam,13000000.0,Monthly,VND	Vietnamese dong,NOT PROVIDED,25-34 years old,Man
5,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",Data scientist or machine learning specialist;Academic researcher,20 to 99 employees,Viet Nam,12000000.0,Monthly,VND	Vietnamese dong,NOT PROVIDED,18-24 years old,Man
8,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Developer, front-end;Developer, back-end;Cloud infrastructure engineer","1,000 to 4,999 employees",Viet Nam,800.0,Monthly,USD	United States dollar,NOT PROVIDED,25-34 years old,Man
3,Some college/university study without earning a degree,"Developer, front-end;Developer, full-stack;Developer, back-end;Developer, QA or test;Database administrator",20 to 99 employees,Viet Nam,25000000.0,Monthly,VND	Vietnamese dong,NOT PROVIDED,25-34 years old,Man
3,Some college/university study without earning a degree,"Developer, front-end;Developer, full-stack;Developer, back-end",100 to 499 employees,Viet Nam,9000000.0,Monthly,VND	Vietnamese dong,NOT PROVIDED,18-24 years old,Man
10,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Developer, back-end;DevOps specialist",100 to 499 employees,Viet Nam,15000000.0,Monthly,VND	Vietnamese dong,NOT PROVIDED,25-34 years old,Man
4,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Developer, front-end;Developer, full-stack;DevOps specialist","1,000 to 4,999 employees",Viet Nam,44000000.0,Monthly,VND	Vietnamese dong,NOT PROVIDED,25-34 years old,Man
7,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Developer, back-end;Developer, desktop or enterprise applications;Educator;Project manager;Blockchain",20 to 99 employees,Viet Nam,20000.0,Yearly,VND	Vietnamese dong,NOT PROVIDED,25-34 years old,Man
8,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Developer, front-end;Developer, mobile",20 to 99 employees,Viet Nam,18000000.0,Monthly,VND	Vietnamese dong,NOT PROVIDED,25-34 years old,Man
4,Some college/university study without earning a degree,"Developer, front-end;Developer, full-stack;Developer, back-end;Student",20 to 99 employees,Viet Nam,300.0,Monthly,VND	Vietnamese dong,NOT PROVIDED,18-24 years old,Man
5,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Developer, back-end;Student","5,000 to 9,999 employees",Viet Nam,430.0,Monthly,VND	Vietnamese dong,NOT PROVIDED,18-24 years old,Man
4,Some college/university study without earning a degree,"Developer, back-end",100 to 499 employees,Viet Nam,9000000.0,Monthly,VND	Vietnamese dong,NOT PROVIDED,18-24 years old,Man
4,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)","Developer, front-end;Developer, full-stack;Developer, back-end;Developer, desktop or enterprise applications;Developer, embedded applications or devices;Developer, game or graphics;Designer;System administrator;Blockchain;Security professional",10 to 19 employees,Viet Nam,75000000.0,Monthly,VND	Vietnamese dong,NOT PROVIDED,18-24 years old,Man
5,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Developer, back-end;Developer, desktop or enterprise applications",20 to 99 employees,Viet Nam,8500000.0,Monthly,VND	Vietnamese dong,NOT PROVIDED,18-24 years old,Man
12,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Developer, back-end;Developer, desktop or enterprise applications","10,000 or more employees",Viet Nam,5500.0,Monthly,USD	United States dollar,NOT PROVIDED,25-34 years old,Man
4,"Associate degree (A.A., A.S., etc.)","Engineer, data;Developer, back-end",10 to 19 employees,Viet Nam,9000000.0,Monthly,VND	Vietnamese dong,NOT PROVIDED,18-24 years old,Man
10,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Developer, mobile",10 to 19 employees,Viet Nam,1000.0,Monthly,VND	Vietnamese dong,NOT PROVIDED,25-34 years old,Man
9,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Developer, front-end;Developer, full-stack;Project manager",10 to 19 employees,Viet Nam,50000000.0,Monthly,VND	Vietnamese dong,NOT PROVIDED,25-34 years old,Man
2,Some college/university study without earning a degree,"Developer, mobile",100 to 499 employees,Viet Nam,32000000.0,Monthly,VND	Vietnamese dong,NOT PROVIDED,25-34 years old,Man
5,Some college/university study without earning a degree,"Developer, desktop or enterprise applications;Database administrator;System administrator","1,000 to 4,999 employees",Viet Nam,6100000.0,Monthly,VND	Vietnamese dong,NOT PROVIDED,18-24 years old,Man
5,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Developer, full-stack;Developer, mobile",20 to 99 employees,Viet Nam,14000000.0,Yearly,VND	Vietnamese dong,NOT PROVIDED,18-24 years old,Man
5,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Developer, front-end",500 to 999 employees,Viet Nam,2680.0,Monthly,USD	United States dollar,NOT PROVIDED,25-34 years old,Man
16,Primary/elementary school,"Engineer, site reliability;Developer, full-stack;Developer, back-end;Database administrator;DevOps specialist;Cloud infrastructure engineer;System administrator;Security professional",20 to 99 employees,Viet Nam,40000000.0,Monthly,VND	Vietnamese dong,NOT PROVIDED,25-34 years old,Man
9,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Developer, back-end;Developer, desktop or enterprise applications;Database administrator;System administrator",10 to 19 employees,Viet Nam,10000000.0,Monthly,VND	Vietnamese dong,NOT PROVIDED,18-24 years old,Man
13,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)","Developer, back-end",20 to 99 employees,Viet Nam,1000000000.0,Monthly,VND	Vietnamese dong,NOT PROVIDED,25-34 years old,Man
2,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Developer, full-stack",20 to 99 employees,Viet Nam,5000.0,Yearly,VND	Vietnamese dong,NOT PROVIDED,18-24 years old,Man
5,Some college/university study without earning a degree,"Developer, front-end;Engineer, data;Developer, full-stack;Developer, back-end;Student;Data or business analyst;Blockchain",20 to 99 employees,Viet Nam,15000000.0,Monthly,VND	Vietnamese dong,NOT PROVIDED,18-24 years old,Man
20,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Developer, full-stack;Engineering manager;Project manager;Product manager",10 to 19 employees,Viet Nam,120000000.0,Monthly,VND	Vietnamese dong,NOT PROVIDED,35-44 years old,Man
1,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",DevOps specialist,"5,000 to 9,999 employees",Viet Nam,20.0,Weekly,VND	Vietnamese dong,NOT PROVIDED,18-24 years old,Man
5,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Developer, full-stack;Developer, back-end",500 to 999 employees,Viet Nam,400000000.0,Yearly,VND	Vietnamese dong,NOT PROVIDED,25-34 years old,Man
6,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Developer, embedded applications or devices",I don’t know,Viet Nam,250000000.0,Yearly,VND	Vietnamese dong,NOT PROVIDED,25-34 years old,Man
14,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Developer, back-end","1,000 to 4,999 employees",Viet Nam,2000.0,Monthly,VND	Vietnamese dong,NOT PROVIDED,35-44 years old,Man
5,Something else,"Developer, front-end",20 to 99 employees,Viet Nam,31750000.0,Monthly,VND	Vietnamese dong,NOT PROVIDED,25-34 years old,Man
6,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Developer, back-end;Blockchain",10 to 19 employees,Viet Nam,30000.0,Monthly,USD	United States dollar,NOT PROVIDED,18-24 years old,Man
4,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Developer, full-stack",I don’t know,Viet Nam,16700000.0,Monthly,VND	Vietnamese dong,NOT PROVIDED,18-24 years old,Man
3,Some college/university study without earning a degree,"Developer, full-stack",10 to 19 employees,Viet Nam,20000000.0,Monthly,VND	Vietnamese dong,NOT PROVIDED,25-34 years old,Man
4,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Developer, back-end",100 to 499 employees,Viet Nam,16000000.0,Monthly,VND	Vietnamese dong,NOT PROVIDED,18-24 years old,Man
3,Some college/university study without earning a degree,"Developer, full-stack",10 to 19 employees,Viet Nam,24000000.0,NOT PROVIDED,VND	Vietnamese dong,NOT PROVIDED,18-24 years old,NOT PROVIDED
4,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Developer, full-stack",20 to 99 employees,Viet Nam,14400.0,NOT PROVIDED,USD	United States dollar,NOT PROVIDED,18-24 years old,NOT PROVIDED
5,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",Data scientist or machine learning specialist,10 to 19 employees,Viet Nam,25000.0,NOT PROVIDED,USD	United States dollar,NOT PROVIDED,25-34 years old,NOT PROVIDED
14,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Developer, full-stack",100 to 499 employees,Viet Nam,2000000000.0,NOT PROVIDED,VND	Vietnamese dong,NOT PROVIDED,25-34 years old,NOT PROVIDED
7,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Engineer, data","1,000 to 4,999 employees",Viet Nam,23000000.0,NOT PROVIDED,VND	Vietnamese dong,NOT PROVIDED,18-24 years old,NOT PROVIDED
5,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Developer, full-stack","5,000 to 9,999 employees",Viet Nam,100000.0,NOT PROVIDED,EUR European Euro,NOT PROVIDED,25-34 years old,NOT PROVIDED
1,Some college/university study without earning a degree,"Developer, full-stack",20 to 99 employees,Viet Nam,125000000.0,NOT PROVIDED,VND	Vietnamese dong,NOT PROVIDED,25-34 years old,NOT PROVIDED
6,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",DevOps specialist,100 to 499 employees,Viet Nam,1000000000.0,NOT PROVIDED,VND	Vietnamese dong,NOT PROVIDED,18-24 years old,NOT PROVIDED
16,Some college/university study without earning a degree,"Developer, full-stack",10 to 19 employees,Viet Nam,1000000000.0,NOT PROVIDED,VND	Vietnamese dong,NOT PROVIDED,25-34 years old,NOT PROVIDED
14,Some college/university study without earning a degree,"Developer, full-stack",20 to 99 employees,Viet Nam,48000.0,NOT PROVIDED,USD	United States dollar,NOT PROVIDED,25-34 years old,NOT PROVIDED
13,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Developer, back-end",100 to 499 employees,Viet Nam,850000000.0,NOT PROVIDED,VND	Vietnamese dong,NOT PROVIDED,25-34 years old,NOT PROVIDED
6,Primary/elementary school,"Developer, full-stack",20 to 99 employees,Viet Nam,12000.0,NOT PROVIDED,VND	Vietnamese dong,NOT PROVIDED,18-24 years old,NOT PROVIDED
5,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Developer, mobile",20 to 99 employees,Viet Nam,24000000.0,NOT PROVIDED,VND	Vietnamese dong,NOT PROVIDED,25-34 years old,NOT PROVIDED
11,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Developer, back-end",20 to 99 employees,Viet Nam,800000000.0,NOT PROVIDED,VND	Vietnamese dong,NOT PROVIDED,25-34 years old,NOT PROVIDED
7,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Developer, full-stack",20 to 99 employees,Viet Nam,8000.0,NOT PROVIDED,USD	United States dollar,NOT PROVIDED,25-34 years old,NOT PROVIDED
9,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Developer, mobile",100 to 499 employees,Viet Nam,241000000.0,NOT PROVIDED,VND	Vietnamese dong,NOT PROVIDED,18-24 years old,NOT PROVIDED
5,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Developer, QA or test",100 to 499 employees,Viet Nam,500000000.0,NOT PROVIDED,VND	Vietnamese dong,NOT PROVIDED,25-34 years old,NOT PROVIDED
17,Some college/university study without earning a degree,"Developer, front-end",500 to 999 employees,Viet Nam,841000000.0,NOT PROVIDED,VND	Vietnamese dong,NOT PROVIDED,25-34 years old,NOT PROVIDED
